Data File Name,Scale Name,Column Name,transform,reverse,min,max,BFI_Extraversion,BFI_Agreeableness,BFI_Conscientiousness,BFI_Neuroticism,BFI_Openness_To_Experience
TDS1_Session_3_Child,BFI-10,BFI_1,,1,1,5,1,0,0,0,0
TDS1_Session_3_Child,BFI-10,BFI_2,,0,,,0,1,0,0,0
TDS1_Session_3_Child,BFI-10,BFI_3,,1,1,5,0,0,1,0,0
TDS1_Session_3_Child,BFI-10,BFI_4,,1,1,5,0,0,0,1,0
TDS1_Session_3_Child,BFI-10,BFI_5,,1,1,5,0,0,0,0,1
TDS1_Session_3_Child,BFI-10,BFI_6,,0,,,1,0,0,0,0
TDS1_Session_3_Child,BFI-10,BFI_7,,1,1,5,0,1,0,0,0
TDS1_Session_3_Child,BFI-10,BFI_8,,0,,,0,0,1,0,0
TDS1_Session_3_Child,BFI-10,BFI_9,,0,,,0,0,0,1,0
TDS1_Session_3_Child,BFI-10,BFI_10,,0,,,0,0,0,0,1
